elliptical_sentences,,,,,full_sentences,,,,,contrast_sentences,,,,,tree_type
Sarah studies movies and John does,,,,,Sarah studies movies and John studies movies,,,,,Sarah studies movies and John learns,,,,,0
Sarah studied chess and John did,,,,,Sarah studied chess and John studied chess,,,,,Sarah studied chess and John learned,,,,,0
Sarah taught music and Mary did,,,,,Sarah taught music and Mary taught music,,,,,Sarah taught music and Mary tutored,,,,,0
Tim teaches chess and Sarah does,,,,,Tim teaches chess and Sarah teaches chess,,,,,Tim teaches chess and Sarah tutors,,,,,0
Tim liked coffee and Sarah did,,,,,Tim liked coffee and Sarah liked coffee,,,,,Tim liked coffee and Sarah appreciated,,,,,0
Tim studies pizza and John does,,,,,Tim studies pizza and John studies pizza,,,,,Tim studies pizza and John learns,,,,,0
Tim studied coffee and Mary did,,,,,Tim studied coffee and Mary studied coffee,,,,,Tim studied coffee and Mary learned,,,,,0
Mary studies TV shows and Tim does,,,,,Mary studies TV shows and Tim TV shows,,,,,Mary studies TV shows and Tim learns,,,,,0
Tim watched TV shows and Sarah did,,,,,Tim watched TV shows and Sarah TV shows,,,,,Tim watched TV shows and Sarah saw,,,,,0
Mary likes novel and Sarah does,,,,,Mary likes novel and Sarah likes novel,,,,,Mary likes novel and Sarah appreciates,,,,,0
Mary likes tennis and Sarah does,,,,,Mary likes tennis and Sarah likes tennis,,,,,Mary likes tennis and Sarah appreciates,,,,,0
Tim liked tennis and John did,,,,,Tim liked tennis and John liked tennis,,,,,Tim liked tennis and John appreciated,,,,,0
John cooks sushi and Mary does,,,,,John cooks sushi and Mary cooks sushi,,,,,John cooks sushi and Mary makes,,,,,0
Mary liked math and John did,,,,,Mary liked math and John liked math,,,,,Mary liked math and John appreciated,,,,,0
Tim liked tennis and Sarah did,,,,,Tim liked tennis and Sarah liked tennis,,,,,Tim liked tennis and Sarah appreciated,,,,,0
John studied tea and Tim did,,,,,John studied tea and Tim studied tea,,,,,John studied tea and Tim learned,,,,,0
Mary taught math and Sarah did,,,,,Mary taught math and Sarah taught math,,,,,Mary taught math and Sarah tutored,,,,,0
Mary likes music and Sarah does,,,,,Mary likes music and Sarah likes music,,,,,Mary likes music and Sarah appreciates,,,,,0
Sarah studied pizza and Tim did,,,,,Sarah studied pizza and Tim studied pizza,,,,,Sarah studied pizza and Tim learned,,,,,0
John liked tea and Tim did,,,,,John liked tea and Tim liked tea,,,,,John liked tea and Tim appreciated,,,,,0
John cooked sushi and Sarah did,,,,,John cooked sushi and Sarah cooked sushi,,,,,John cooked sushi and Sarah made,,,,,0
Tim likes movies and Sarah does,,,,,Tim likes movies and Sarah likes movies,,,,,Tim likes movies and Sarah appreciates,,,,,0
Mary studies sushi and John does,,,,,Mary studies sushi and John studies sushi,,,,,Mary studies sushi and John learns,,,,,0
Mary read poems and Sarah did,,,,,Mary read poems and Sarah read poems,,,,,Mary read poems and Sarah interpreted,,,,,0
Sarah studied TV shows and John did,,,,,Sarah studied TV shows and John TV shows,,,,,Sarah studied TV shows and John learned,,,,,0
Mary liked music and John did,,,,,Mary liked music and John liked music,,,,,Mary liked music and John appreciated,,,,,0
Sarah studies movies and Mary does,,,,,Sarah studies movies and Mary studies movies,,,,,Sarah studies movies and Mary learns,,,,,0
Mary likes movies and John does,,,,,Mary likes movies and John likes movies,,,,,Mary likes movies and John appreciates,,,,,0
Tim taught math and John did,,,,,Tim taught math and John taught math,,,,,Tim taught math and John tutored,,,,,0
Tim studies tea and Mary does,,,,,Tim studies tea and Mary studies tea,,,,,Tim studies tea and Mary learns,,,,,0
Tim plays chess and Sarah does,,,,,Tim plays chess and Sarah plays chess,,,,,Tim plays chess and Sarah participates,,,,,0
Mary studied chess and John did,,,,,Mary studied chess and John studied chess,,,,,Mary studied chess and John learned,,,,,0
Mary likes math and John does,,,,,Mary likes math and John likes math,,,,,Mary likes math and John appreciates,,,,,0
Sarah taught tennis and Mary did,,,,,Sarah taught tennis and Mary taught tennis,,,,,Sarah taught tennis and Mary tutored,,,,,0
Sarah studied tea and Tim did,,,,,Sarah studied tea and Tim studied tea,,,,,Sarah studied tea and Tim learned,,,,,0
Mary plays tennis and Sarah does,,,,,Mary plays tennis and Sarah plays tennis,,,,,Mary plays tennis and Sarah participates,,,,,0
Mary liked novel and Sarah did,,,,,Mary liked novel and Sarah liked novel,,,,,Mary liked novel and Sarah appreciated,,,,,0
Sarah likes tea and Tim does,,,,,Sarah likes tea and Tim likes tea,,,,,Sarah likes tea and Tim appreciates,,,,,0
Tim studies coffee and Sarah does,,,,,Tim studies coffee and Sarah studies coffee,,,,,Tim studies coffee and Sarah learns,,,,,0
Mary teaches music and Tim does,,,,,Mary teaches music and Tim teaches music,,,,,Mary teaches music and Tim tutors,,,,,0
Sarah liked tea and Mary did,,,,,Sarah liked tea and Mary liked tea,,,,,Sarah liked tea and Mary appreciated,,,,,0
Tim studied movies and Mary did,,,,,Tim studied movies and Mary studied movies,,,,,Tim studied movies and Mary learned,,,,,0
Sarah liked coffee and John did,,,,,Sarah liked coffee and John liked coffee,,,,,Sarah liked coffee and John appreciated,,,,,0
Mary taught history and Tim did,,,,,Mary taught history and Tim taught history,,,,,Mary taught history and Tim tutored,,,,,0
Mary liked tennis and Sarah did,,,,,Mary liked tennis and Sarah liked tennis,,,,,Mary liked tennis and Sarah appreciated,,,,,0
John studies TV shows and Tim does,,,,,John studies TV shows and Tim TV shows,,,,,John studies TV shows and Tim learns,,,,,0
Mary studies pizza and Sarah does,,,,,Mary studies pizza and Sarah studies pizza,,,,,Mary studies pizza and Sarah learns,,,,,0
John likes music and Mary does,,,,,John likes music and Mary likes music,,,,,John likes music and Mary appreciates,,,,,0
Sarah studies history and Tim does,,,,,Sarah studies history and Tim studies history,,,,,Sarah studies history and Tim learns,,,,,0
Sarah likes math and Mary does,,,,,Sarah likes math and Mary likes math,,,,,Sarah likes math and Mary appreciates,,,,,0
Sarah watched movies and Mary did,,,,,Sarah watched movies and Mary watched movies,,,,,Sarah watched movies and Mary saw,,,,,0
Tim likes history and John does,,,,,Tim likes history and John likes history,,,,,Tim likes history and John appreciates,,,,,0
Mary reads poems and John does,,,,,Mary reads poems and John reads poems,,,,,Mary reads poems and John interprets,,,,,0
Tim watched movies and Mary did,,,,,Tim watched movies and Mary watched movies,,,,,Tim watched movies and Mary saw,,,,,0
Mary likes tea and John does,,,,,Mary likes tea and John likes tea,,,,,Mary likes tea and John appreciates,,,,,0
Sarah studied history and Tim did,,,,,Sarah studied history and Tim studied history,,,,,Sarah studied history and Tim learned,,,,,0
John studied math and Sarah did,,,,,John studied math and Sarah studied math,,,,,John studied math and Sarah learned,,,,,0
Sarah taught chess and Mary did,,,,,Sarah taught chess and Mary taught chess,,,,,Sarah taught chess and Mary tutored,,,,,0
Mary taught music and Sarah did,,,,,Mary taught music and Sarah taught music,,,,,Mary taught music and Sarah tutored,,,,,0
Sarah likes math and John does,,,,,Sarah likes math and John likes math,,,,,Sarah likes math and John appreciates,,,,,0
John liked math and Mary did,,,,,John liked math and Mary liked math,,,,,John liked math and Mary appreciated,,,,,0
Tim studied coffee and Sarah did,,,,,Tim studied coffee and Sarah studied coffee,,,,,Tim studied coffee and Sarah learned,,,,,0
John studies music and Sarah does,,,,,John studies music and Sarah studies music,,,,,John studies music and Sarah learns,,,,,0
John studied tea and Sarah did,,,,,John studied tea and Sarah studied tea,,,,,John studied tea and Sarah learned,,,,,0
Tim liked pizza and John did,,,,,Tim liked pizza and John liked pizza,,,,,Tim liked pizza and John appreciated,,,,,0
Tim liked sushi and Sarah did,,,,,Tim liked sushi and Sarah liked sushi,,,,,Tim liked sushi and Sarah appreciated,,,,,0
Mary liked TV shows and Tim did,,,,,Mary liked TV shows and Tim TV shows,,,,,Mary liked TV shows and Tim appreciated,,,,,0
Sarah teaches chess and John does,,,,,Sarah teaches chess and John teaches chess,,,,,Sarah teaches chess and John tutors,,,,,0
Mary studied coffee and John did,,,,,Mary studied coffee and John studied coffee,,,,,Mary studied coffee and John learned,,,,,0
Mary watches TV shows and John does,,,,,Mary watches TV shows and John TV shows,,,,,Mary watches TV shows and John sees,,,,,0
Tim studies music and Sarah does,,,,,Tim studies music and Sarah studies music,,,,,Tim studies music and Sarah learns,,,,,0
John likes tea and Sarah does,,,,,John likes tea and Sarah likes tea,,,,,John likes tea and Sarah appreciates,,,,,0
Sarah teaches music and John does,,,,,Sarah teaches music and John teaches music,,,,,Sarah teaches music and John tutors,,,,,0
Tim cooked sushi and John did,,,,,Tim cooked sushi and John cooked sushi,,,,,Tim cooked sushi and John made,,,,,0
John teaches math and Sarah does,,,,,John teaches math and Sarah teaches math,,,,,John teaches math and Sarah tutors,,,,,0
John studies sushi and Sarah does,,,,,John studies sushi and Sarah studies sushi,,,,,John studies sushi and Sarah learns,,,,,0
John taught history and Mary did,,,,,John taught history and Mary taught history,,,,,John taught history and Mary tutored,,,,,0
Mary studies history and Sarah does,,,,,Mary studies history and Sarah studies history,,,,,Mary studies history and Sarah learns,,,,,0
Sarah watches movies and Tim does,,,,,Sarah watches movies and Tim watches movies,,,,,Sarah watches movies and Tim sees,,,,,0
Mary studies tea and John does,,,,,Mary studies tea and John studies tea,,,,,Mary studies tea and John learns,,,,,0
Sarah studies novel and Tim does,,,,,Sarah studies novel and Tim studies novel,,,,,Sarah studies novel and Tim learns,,,,,0
John read poems and Tim did,,,,,John read poems and Tim read poems,,,,,John read poems and Tim interpreted,,,,,0
Tim studied math and John did,,,,,Tim studied math and John studied math,,,,,Tim studied math and John learned,,,,,0
John likes coffee and Sarah does,,,,,John likes coffee and Sarah likes coffee,,,,,John likes coffee and Sarah appreciates,,,,,0
Sarah studies TV shows and Tim does,,,,,Sarah studies TV shows and Tim TV shows,,,,,Sarah studies TV shows and Tim learns,,,,,0
John watched movies and Mary did,,,,,John watched movies and Mary watched movies,,,,,John watched movies and Mary saw,,,,,0
John liked novel and Mary did,,,,,John liked novel and Mary liked novel,,,,,John liked novel and Mary appreciated,,,,,0
John liked novel and Sarah did,,,,,John liked novel and Sarah liked novel,,,,,John liked novel and Sarah appreciated,,,,,0
Tim watches TV shows and Sarah does,,,,,Tim watches TV shows and Sarah TV shows,,,,,Tim watches TV shows and Sarah sees,,,,,0
Mary likes pizza and Sarah does,,,,,Mary likes pizza and Sarah likes pizza,,,,,Mary likes pizza and Sarah appreciates,,,,,0
John read novel and Mary did,,,,,John read novel and Mary read novel,,,,,John read novel and Mary interpreted,,,,,0
John plays tennis and Mary does,,,,,John plays tennis and Mary plays tennis,,,,,John plays tennis and Mary participates,,,,,0
Mary taught tennis and John did,,,,,Mary taught tennis and John taught tennis,,,,,Mary taught tennis and John tutored,,,,,0
Mary cooks sushi and John does,,,,,Mary cooks sushi and John cooks sushi,,,,,Mary cooks sushi and John makes,,,,,0
Mary taught music and John did,,,,,Mary taught music and John taught music,,,,,Mary taught music and John tutored,,,,,0
Tim studies tea and Sarah does,,,,,Tim studies tea and Sarah studies tea,,,,,Tim studies tea and Sarah learns,,,,,0
John watched movies and Sarah did,,,,,John watched movies and Sarah watched movies,,,,,John watched movies and Sarah saw,,,,,0
Sarah teaches chess and Tim does,,,,,Sarah teaches chess and Tim teaches chess,,,,,Sarah teaches chess and Tim tutors,,,,,0
Tim teaches math and John does,,,,,Tim teaches math and John teaches math,,,,,Tim teaches math and John tutors,,,,,0
John liked movies and Sarah did,,,,,John liked movies and Sarah liked movies,,,,,John liked movies and Sarah appreciated,,,,,0
Tim cooked pizza and John did,,,,,Tim cooked pizza and John cooked pizza,,,,,Tim cooked pizza and John made,,,,,0
John liked sushi and Sarah did,,,,,John liked sushi and Sarah liked sushi,,,,,John liked sushi and Sarah appreciated,,,,,0
Sarah liked music and John did,,,,,Sarah liked music and John liked music,,,,,Sarah liked music and John appreciated,,,,,0
Mary liked poems and John did,,,,,Mary liked poems and John liked poems,,,,,Mary liked poems and John appreciated,,,,,0
Mary studies coffee and Sarah does,,,,,Mary studies coffee and Sarah studies coffee,,,,,Mary studies coffee and Sarah learns,,,,,0
Mary studies chess and John does,,,,,Mary studies chess and John studies chess,,,,,Mary studies chess and John learns,,,,,0
John watches TV shows and Tim does,,,,,John watches TV shows and Tim TV shows,,,,,John watches TV shows and Tim sees,,,,,0
John likes math and Sarah does,,,,,John likes math and Sarah likes math,,,,,John likes math and Sarah appreciates,,,,,0
Tim teaches history and John does,,,,,Tim teaches history and John teaches history,,,,,Tim teaches history and John tutors,,,,,0
John studied movies and Mary did,,,,,John studied movies and Mary studied movies,,,,,John studied movies and Mary learned,,,,,0
Mary studies music and Tim does,,,,,Mary studies music and Tim studies music,,,,,Mary studies music and Tim learns,,,,,0
John studied movies and Sarah did,,,,,John studied movies and Sarah studied movies,,,,,John studied movies and Sarah learned,,,,,0
John cooked pizza and Sarah did,,,,,John cooked pizza and Sarah cooked pizza,,,,,John cooked pizza and Sarah made,,,,,0
Tim studies novel and Mary does,,,,,Tim studies novel and Mary studies novel,,,,,Tim studies novel and Mary learns,,,,,0
Mary reads novel and Sarah does,,,,,Mary reads novel and Sarah reads novel,,,,,Mary reads novel and Sarah interprets,,,,,0
Mary studies coffee and John does,,,,,Mary studies coffee and John studies coffee,,,,,Mary studies coffee and John learns,,,,,0
Sarah studied music and Mary did,,,,,Sarah studied music and Mary studied music,,,,,Sarah studied music and Mary learned,,,,,0
Sarah reads novel and Tim does,,,,,Sarah reads novel and Tim reads novel,,,,,Sarah reads novel and Tim interprets,,,,,0
Tim played tennis and Sarah did,,,,,Tim played tennis and Sarah played tennis,,,,,Tim played tennis and Sarah participated,,,,,0
John taught tennis and Tim did,,,,,John taught tennis and Tim taught tennis,,,,,John taught tennis and Tim tutored,,,,,0
John likes music and Sarah does,,,,,John likes music and Sarah likes music,,,,,John likes music and Sarah appreciates,,,,,0
Tim cooked sushi and Sarah did,,,,,Tim cooked sushi and Sarah cooked sushi,,,,,Tim cooked sushi and Sarah made,,,,,0
John studied movies and Tim did,,,,,John studied movies and Tim studied movies,,,,,John studied movies and Tim learned,,,,,0
Mary studies novel and Sarah does,,,,,Mary studies novel and Sarah studies novel,,,,,Mary studies novel and Sarah learns,,,,,0
Mary studies pizza and Tim does,,,,,Mary studies pizza and Tim studies pizza,,,,,Mary studies pizza and Tim learns,,,,,0
Sarah taught math and John did,,,,,Sarah taught math and John taught math,,,,,Sarah taught math and John tutored,,,,,0
Sarah likes history and Mary does,,,,,Sarah likes history and Mary likes history,,,,,Sarah likes history and Mary appreciates,,,,,0
Tim liked novel and John did,,,,,Tim liked novel and John liked novel,,,,,Tim liked novel and John appreciated,,,,,0
Sarah studied coffee and John did,,,,,Sarah studied coffee and John studied coffee,,,,,Sarah studied coffee and John learned,,,,,0
Tim studies math and Sarah does,,,,,Tim studies math and Sarah studies math,,,,,Tim studies math and Sarah learns,,,,,0
John studied tea and Mary did,,,,,John studied tea and Mary studied tea,,,,,John studied tea and Mary learned,,,,,0
Mary studies TV shows and Sarah does,,,,,Mary studies TV shows and Sarah TV shows,,,,,Mary studies TV shows and Sarah learns,,,,,0
Sarah liked history and Tim did,,,,,Sarah liked history and Tim liked history,,,,,Sarah liked history and Tim appreciated,,,,,0
Sarah plays chess and John does,,,,,Sarah plays chess and John plays chess,,,,,Sarah plays chess and John participates,,,,,0
Sarah liked novel and John did,,,,,Sarah liked novel and John liked novel,,,,,Sarah liked novel and John appreciated,,,,,0
Tim read poems and Sarah did,,,,,Tim read poems and Sarah read poems,,,,,Tim read poems and Sarah interpreted,,,,,0
Tim studies coffee and John does,,,,,Tim studies coffee and John studies coffee,,,,,Tim studies coffee and John learns,,,,,0
Sarah likes pizza and Tim does,,,,,Sarah likes pizza and Tim likes pizza,,,,,Sarah likes pizza and Tim appreciates,,,,,0
John likes chess and Mary does,,,,,John likes chess and Mary likes chess,,,,,John likes chess and Mary appreciates,,,,,0
John cooks pizza and Tim does,,,,,John cooks pizza and Tim cooks pizza,,,,,John cooks pizza and Tim makes,,,,,0
Sarah liked TV shows and John did,,,,,Sarah liked TV shows and John TV shows,,,,,Sarah liked TV shows and John appreciated,,,,,0
Sarah played chess and John did,,,,,Sarah played chess and John played chess,,,,,Sarah played chess and John participated,,,,,0
John studies math and Tim does,,,,,John studies math and Tim studies math,,,,,John studies math and Tim learns,,,,,0
John liked tennis and Mary did,,,,,John liked tennis and Mary liked tennis,,,,,John liked tennis and Mary appreciated,,,,,0
Mary likes pizza and John does,,,,,Mary likes pizza and John likes pizza,,,,,Mary likes pizza and John appreciates,,,,,0
John studies history and Tim does,,,,,John studies history and Tim studies history,,,,,John studies history and Tim learns,,,,,0
Sarah studied TV shows and Mary did,,,,,Sarah studied TV shows and Mary TV shows,,,,,Sarah studied TV shows and Mary learned,,,,,0
John studied math and Tim did,,,,,John studied math and Tim studied math,,,,,John studied math and Tim learned,,,,,0
John liked pizza and Tim did,,,,,John liked pizza and Tim liked pizza,,,,,John liked pizza and Tim appreciated,,,,,0
Tim liked music and Mary did,,,,,Tim liked music and Mary liked music,,,,,Tim liked music and Mary appreciated,,,,,0
